Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C0402,2,2u20 16V,GRM155R61C225KE44D
"C10, C22, C6, C8",C0402,4,22u0 6V3,CL05A226MQ5CUN
C11,C0402,1,4u70 6V3,MSASJ105BB5475MFNA01
"C12, C13, C15, C20, C23, C24, C25, C26",C0402,8,100n 10V,GRM155R71A104JA01D
C14,C0402,1,680p 50V, GCM1555C1H681FA16J 
"C16, C17, C18, C4, C5",C0402,5,1u00 10V,C0402C105K8PACTU
C21,C0402,1,10u0 4V,GRM155R60G106ME01D
"C7, C9",C0402,2,10n0 16V,CL05B103JO5NNWC 
FB1,L0402,1,300R, LI0402B301R-10 
"J1, J2, J3, J4",2121340003,4,212134-0003, 212134-0003 
"R1, R3",R0402,2,39R0,RT0402BRD0739RL 
"R10, R12",R0402,2,1R00, CRCW04021R00FKEDHP 
"R11, R9",R0402,2,0R30, ERJ-2BQJR30X 
R14,R0402,1,20K0,CRCW040220K0FKED
R15,R0402,1,100K,CRCW0402100KFKEDC
"R16, R17",R0402,2,0R15,KDV04FR150ET 
R18,R0402,1,0R00,RK73Z1ETTP
R2,R0402,1,22R0,CRCW040222R0FKED
"R4, R5",R0402,2,1K00,ERA-2ARC102X
R6,R0402,1,20K0, ERA-2ARC203X 
R7,R0402,1,169K,CRCW0402169KFKTD 
R8,R0402,1,1M33,CRCW04021M33FKED 
U1,VSON-10_3x3mm_P0.5,1,ADS8860IDRCT, ADS8860IDRCT 
U2,DSBGA-4_1.085x0.870mm,1,REF35250YBHR,REF35250YBHR 
U3,DSBGA-4_0.74x0.74mm,1,TPS22916CYFPR,TPS22916CYFPR
U4,WSON-10-3.15x3.15mm,1,TPS7A9401DSCR,
U5,USON-10_1x2.5mm,1,TMUX1104DQAR,TMUX1104DQAR 
U6,SOT_23_6,1,LTC6255IDC#TRMPBF, LTC6255CS6#TRMPBF 
U7,SOT_23_5_SHDN,1,OPA310SIDBVR, OPA310SIDBVR 
U8,SOT_23_5_SHDN,1,OPA333AIDBVR, OPA333AIDBVR 
