Designator,Mid X,Mid Y,Rotation,Layer
C1,133.335,-76.5,0.0,bottom
C10,135.445,-78.0366,180.0,top
C11,138.161922,-79.105,180.0,top
C12,137.1678,-73.509,90.0,bottom
C13,135.445,-82.253478,0.0,top
C14,134.975,-79.005,270.0,bottom
C15,141.34,-79.52,0.0,bottom
C16,131.325,-88.515278,180.0,top
C17,131.325,-84.390278,180.0,top
C18,135.445,-83.321878,0.0,top
C20,135.445,-84.390278,0.0,top
C21,135.445,-87.476678,0.0,top
C22,137.375,-76.53,180.0,bottom
C23,137.375,-77.45,180.0,bottom
C24,133.495,-84.390278,180.0,top
C25,133.495,-79.105,180.0,top
C26,135.455,-88.515278,0.0,top
C3,131.585,-76.49,180.0,bottom
C4,135.445,-79.105,0.0,top
C5,133.495,-83.321878,0.0,top
C6,138.161922,-87.476678,0.0,top
C7,138.161922,-88.515278,0.0,top
C8,138.161922,-85.409478,0.0,top
C9,138.161922,-86.454878,0.0,top
FB1,136.799122,-88.016678,90.0,top
J1,130.838,-74.5596,180.0,top
J2,130.838,-74.5596,180.0,bottom
J3,140.611,-74.5596,180.0,top
J4,140.611,-74.5596,180.0,bottom
J5,135.7245,-78.5876,0.0,top
R1,136.415,-79.485,0.0,bottom
R10,140.098922,-88.515278,0.0,top
R11,140.098922,-85.410878,0.0,top
R12,140.098922,-86.454878,0.0,top
R14,140.086922,-79.105,0.0,top
R15,140.578922,-82.891678,270.0,top
R16,135.455,-76.51,180.0,bottom
R17,135.455,-77.44,180.0,bottom
R18,131.325,-79.105,0.0,top
R2,129.8,-79.005,270.0,bottom
R3,136.415,-78.525,0.0,bottom
R4,131.325,-83.321878,0.0,top
R5,133.495,-88.515278,180.0,top
R6,131.325,-78.0366,0.0,top
R7,138.161922,-84.390278,0.0,top
R8,140.578922,-80.896278,270.0,top
R9,140.098922,-87.476678,0.0,top
U1,132.39,-78.58,0.0,bottom
U2,135.445,-85.933478,90.0,top
U3,135.445,-80.679239,0.0,top
U4,138.375722,-81.747639,90.0,top
U5,135.072478,-73.509,180.0,bottom
U6,140.26,-77.55,180.0,bottom
U7,132.41,-81.257278,0.0,top
U8,132.41,-86.454878,0.0,top
