Designator,Mid X,Mid Y,Rotation,Layer
C1,104.394,-106.934,180.0,top
C10,101.473,-99.568,270.0,top
C11,106.045,-94.869,180.0,top
C12,101.473,-97.663,270.0,top
C13,108.460669,-109.1585,180.0,top
C14,104.797,-112.025,180.0,top
C15,113.186,-111.545,270.0,top
C16,111.336,-109.047,270.0,top
C17,108.460669,-112.025,180.0,top
C2,110.617,-107.061,180.0,top
C3,113.665,-101.219,270.0,top
C4,110.744,-94.869,180.0,top
C5,104.267,-94.869,180.0,top
C6,101.473,-101.346,270.0,top
C7,102.606,-106.934,0.0,top
C8,112.395,-107.061,180.0,top
C9,113.665,-99.441,270.0,top
J1,107.569,-104.14,0.0,top
OSC1,108.45,-107.957,180.0,top
R1,102.847,-112.0,180.0,top
R2,101.473,-105.537,90.0,top
R3,101.473,-103.759,270.0,top
R4,101.612,-110.456,270.0,top
R5,106.461,-108.67,90.0,top
R6,101.612,-108.678,90.0,top
R7,106.461,-110.456,270.0,top
R8,113.186,-109.047,270.0,top
R9,112.261,-109.047,270.0,top
U1,107.569,-100.965,90.0,top
U2,104.052,-109.563,180.0,top
U3,111.868,-111.545,270.0,top
U4,108.460669,-110.707,180.0,top
U5,110.193,-109.047,270.0,top
