Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0402,1,100n 10V,GRM155R71A104JA01D
C10,C0402,1,3n30 16V,GRM15XR71C332KA86D
"C11, C14, C15, C16",C0402,4,1u00 10V,C0402C105K8PACTU
"C12, C13",C0402,2,2u20 16V,GRM155R61C225KE44D
C2,C0402,1,470n 6V3,GRM155R60J474KE19D
"C3, C4",C0603,2,4u70 25V,GRM188R61E475KE11D
"C5, C6, C7, C8, C9",C0603,5,22u0 10V,GRM188R61A226ME15D
L1,L0806,1,1u50,DFE201612E-1R5M=P2
"R10, R2, R5",R0402,3,0R00,RK73Z1ETTP
"R8, R9",R0402,2,100K,CRCW0402100KFKEDC
U1,WLCSP-9_1.468x1.448mm_P0.4mm,1,MAX17262REWL+T,MAX17262REWL+T
U2,WLCSP-30_2.788x2.338mm_P0.4mm,1,MAX77654MENV+T,MAX77654MENV+T
