Designator,Mid X,Mid Y,Rotation,Layer
C1,141.7725,-101.3575,0.0,top
C10,148.6725,-103.4825,90.0,top
C11,145.4725,-96.4325,90.0,top
C12,148.2475,-96.4325,90.0,top
C13,149.1975,-96.4325,90.0,top
C14,146.3975,-96.4325,90.0,top
C15,147.3225,-96.4325,90.0,top
C16,142.9975,-98.1575,180.0,top
C2,141.7725,-103.9325,0.0,top
C3,142.4975,-99.2325,180.0,top
C4,144.8475,-102.2325,270.0,top
C5,147.0725,-101.4325,0.0,top
C6,143.4975,-102.2325,270.0,top
C7,150.0475,-101.1325,0.0,top
C8,150.0475,-99.7325,0.0,top
C9,150.0475,-98.3325,0.0,top
J1,146.485,-100.02,0.0,top
L1,146.9475,-103.4825,180.0,top
R10,151.6725,-103.6325,90.0,top
R2,142.1225,-96.4325,90.0,top
R5,151.6725,-96.4325,270.0,top
R8,144.6475,-96.4325,270.0,top
R9,143.8225,-96.4325,270.0,top
U1,141.7725,-102.6575,0.0,top
U2,146.0725,-98.9325,0.0,top
