Designator,Footprint,Quantity,Value,LCSC Part #
"_304, _303, _302, _301, _300, _299, _298, _297, _296, _295, _294, _293, _292, _291, _290, _289, _288, _287, _286, _285, _284, _283, _282, _281, _280, _279, _278, _277, _276, _275, _274, _273, _272, _271, _270, _269, _268, _267, _266, _265, _264, _263, _262, _261, _260, _259, _258, _257, _256, _255, _254, _253, _252, _251, _250, _249, _248, _247, _246, _245, _244, _243, _242, _241, _240, _239, _238, _237, _236, _235, _234, _233, _232, _231, _230, _229, _228, _227, _226, _225, _224, _223, _222, _221, _220, _219, _218, _217, _216, _215, _214, _213, _212, _211, _210, _209, _208, _207, _206, _205, _204, _203, _202, _201, _200, _199, _198, _197, _196, _195, _194, _193, _192, _191, _190, _189, _188, _187, _186, _185, _184, _183, _182, _181, _180, _179, _178, _177, _176, _175, _174, _173, _172, _171, _170, _169, _168, _167, _166, _165, _164, _163, _162, _161, _160, _159, _158, _157, _156, _155, _154, _153, _152, _151, _150, _149, _148, _147, _146, _145, _144, _143, _142, _141, _140, _139, _138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105",,200,,
"_104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, , 1_8, 1_7, 1_6, 1_5, 1_4, 1_3, 1_2, 1, 2_8, 2_7, 2_6, 2_5, 2_4, 2_3, 2_2, 2, 3_8, 3_7, 3_6, 3_5, 3_4, 3_3, 3_2, 3, 4_8, 4_7, 4_6, 4_5, 4_4, 4_3, 4_2, 4, 5_8, 5_7, 5_6, 5_5, 5_4, 5_3, 5_2, 5",,144,,
"C1_20, C1_19, C1_18, C1_17, C1_16, C1_15, C1_14, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C10_20, C10_19, C10_18, C10_17, C10_16, C10_15, C10_14, C10_13, C10_12, C10_11, C10_10, C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_20, C11_19, C11_18, C11_17, C11_16, C11_15, C11_14, C11_13, C11_12, C11_11, C11_10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C12_20, C12_19, C12_18, C12_17, C12_16, C12_15, C12_14, C12_13, C12_12, C12_11, C12_10, C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C13_20, C13_19, C13_18, C13_17, C13_16, C13_15, C13_14, C13_13, C13_12, C13_11, C13_10, C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C14_20, C14_19, C14_18, C14_17, C14_16, C14_15, C14_14, C14_13, C14_12, C14_11, C14_10, C14_9, C14_8, C14_7, C14_6, C14_5, C14_4, C14_3, C14_2, C14, C15_20, C15_19, C15_18, C15_17, C15_16, C15_15, C15_14, C15_13, C15_12, C15_11, C15_10, C15_9, C15_8, C15_7, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C16_20, C16_19, C16_18, C16_17, C16_16, C16_15, C16_14, C16_13, C16_12, C16_11, C16_10, C16_9, C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_20, C17_19, C17_18, C17_17, C17_16, C17_15, C17_14, C17_13, C17_12, C17_11, C17_10, C17_9, C17_8, C17_7, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C2_20, C2_19, C2_18, C2_17, C2_16, C2_15, C2_14, C2_13, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",C0402,200,100n 10V,GRM155R71A104JA01D
"C3_20, C3_19, C3_18, C3_17, C3_16, C3_15, C3_14, C3_13, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_20, C4_19, C4_18, C4_17, C4_16, C4_15, C4_14, C4_13, C4_12, C4_11, C4_10, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_20, C5_19, C5_18, C5_17, C5_16, C5_15, C5_14, C5_13, C5_12, C5_11, C5_10, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_20, C6_19, C6_18, C6_17, C6_16, C6_15, C6_14, C6_13, C6_12, C6_11, C6_10, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_20, C7_19, C7_18, C7_17, C7_16, C7_15, C7_14, C7_13, C7_12, C7_11, C7_10, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C8_20, C8_19, C8_18, C8_17, C8_16, C8_15, C8_14, C8_13, C8_12, C8_11, C8_10, C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_20, C9_19, C9_18, C9_17, C9_16, C9_15, C9_14, C9_13, C9_12, C9_11, C9_10, C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",C0402,140,100n 10V,GRM155R71A104JA01D
"OSC1_20, OSC1_19, OSC1_18, OSC1_17, OSC1_16, OSC1_15, OSC1_14, OSC1_13, OSC1_12, OSC1_11, OSC1_10, OSC1_9, OSC1_8, OSC1_7, OSC1_6, OSC1_5, OSC1_4, OSC1_3, OSC1_2, OSC1",SIT1532AC,20,SIT1532AC-J5-DCC-32.768D,SIT1532AC-J5-DCC-32.768D
"R1_20, R1_19, R1_18, R1_17, R1_16, R1_15, R1_14, R1_13, R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_20, R2_19, R2_18, R2_17, R2_16, R2_15, R2_14, R2_13, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R3_20, R3_19, R3_18, R3_17, R3_16, R3_15, R3_14, R3_13, R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_20, R4_19, R4_18, R4_17, R4_16, R4_15, R4_14, R4_13, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_20, R5_19, R5_18, R5_17, R5_16, R5_15, R5_14, R5_13, R5_12, R5_11, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5, R6_20, R6_19, R6_18, R6_17, R6_16, R6_15, R6_14, R6_13, R6_12, R6_11, R6_10, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6, R7_20, R7_19, R7_18, R7_17, R7_16, R7_15, R7_14, R7_13, R7_12, R7_11, R7_10, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7",R0402,140,10K0,CRCW040210K0FKEDHP
"R8_20, R8_19, R8_18, R8_17, R8_16, R8_15, R8_14, R8_13, R8_12, R8_11, R8_10, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_20, R9_19, R9_18, R9_17, R9_16, R9_15, R9_14, R9_13, R9_12, R9_11, R9_10, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",R0402,40,100K,CRCW0402100KFKEDC
"U1_20, U1_19, U1_18, U1_17, U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",HEEPocrates,20,HEEPocrates,
"U2_20, U2_19, U2_18, U2_17, U2_16, U2_15, U2_14, U2_13, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",WLCSP-21,20,W25Q128JWYIQ,W25Q128JWYIQ
"U3_20, U3_19, U3_18, U3_17, U3_16, U3_15, U3_14, U3_13, U3_12, U3_11, U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3, U4_20, U4_19, U4_18, U4_17, U4_16, U4_15, U4_14, U4_13, U4_12, U4_11, U4_10, U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4",X2SON-8,40,~,SN74AUP2G08DQER
