Designator,Mid X,Mid Y,Rotation,Layer
_304,175.00532,-66.402,0.0,top
_303,171.93068,-118.052,0.0,top
_302,116.84,-68.3876,0.0,top
_301,97.901868,-92.764868,0.0,top
_300,116.84,-119.1296,0.0,top
_299,116.92732,-40.947132,0.0,top
_298,172.93068,-143.506868,0.0,top
_297,133.87868,-67.31,0.0,top
_296,173.918,-141.4374,0.0,top
_295,154.97932,-142.431132,0.0,top
_294,153.992,-119.1296,0.0,top
_293,134.966,-93.7586,0.0,top
_292,115.85268,-143.506868,0.0,top
_291,173.918,-65.3244,0.0,top
_290,152.9,-91.777,0.0,top
_289,172.930132,-142.431132,0.0,top
_288,134.966,-65.3244,0.0,top
_287,97.814,-65.3244,0.0,top
_286,192.944,-65.3244,0.0,top
_285,155.97932,-66.402,0.0,top
_284,133.87868,-143.423,0.0,top
_283,155.97932,-142.515,0.0,top
_282,172.93068,-92.764868,0.0,top
_281,97.901868,-118.135868,0.0,top
_280,174.00532,-91.689132,0.0,top
_279,172.930132,-91.689132,0.0,top
_278,134.878132,-117.060132,0.0,top
_277,190.952,-91.777,0.0,top
_276,114.848,-91.777,0.0,top
_275,116.92732,-117.060132,0.0,top
_274,117.932,-67.306,0.0,top
_273,175.00532,-117.144,0.0,top
_272,153.992,-93.7586,0.0,top
_271,133.87868,-41.939,0.0,top
_270,117.92732,-142.515,0.0,top
_269,135.953868,-42.022868,0.0,top
_268,191.95668,-67.393868,0.0,top
_267,116.84,-90.6954,0.0,top
_266,115.94,-90.6954,0.0,top
_265,117.932,-118.048,0.0,top
_264,135.95332,-66.318132,0.0,top
_263,154.892,-68.3876,0.0,top
_262,96.914,-90.6954,0.0,top
_261,135.866,-90.6954,0.0,top
_260,154.892,-43.0166,0.0,top
_259,116.927868,-67.393868,0.0,top
_258,97.814,-90.6954,0.0,top
_257,174.00532,-142.431132,0.0,top
_256,175.01,-41.935,0.0,top
_255,117.932,-41.935,0.0,top
_254,193.031868,-118.135868,0.0,top
_253,152.90468,-92.681,0.0,top
_252,175.01,-118.048,0.0,top
_251,114.848,-142.519,0.0,top
_250,190.952,-66.406,0.0,top
_249,98.906,-41.935,0.0,top
_248,115.85268,-67.393868,0.0,top
_247,96.914,-43.0166,0.0,top
_246,153.90468,-118.135868,0.0,top
_245,135.866,-43.0166,0.0,top
_244,153.992,-65.3244,0.0,top
_243,115.852132,-117.060132,0.0,top
_242,174.00532,-117.060132,0.0,top
_241,98.90132,-41.031,0.0,top
_240,97.90132,-117.060132,0.0,top
_239,174.005868,-143.506868,0.0,top
_238,191.95668,-118.135868,0.0,top
_237,98.90132,-66.402,0.0,top
_236,193.03132,-91.689132,0.0,top
_235,114.85268,-143.423,0.0,top
_234,133.874,-117.148,0.0,top
_233,96.82668,-67.393868,0.0,top
_232,175.00532,-91.773,0.0,top
_231,115.85268,-118.135868,0.0,top
_230,154.892,-90.6954,0.0,top
_229,115.94,-116.0664,0.0,top
_228,114.85268,-118.052,0.0,top
_227,115.852132,-66.318132,0.0,top
_226,172.93068,-118.135868,0.0,top
_225,172.930132,-117.060132,0.0,top
_224,116.84,-43.0166,0.0,top
_223,115.852132,-91.689132,0.0,top
_222,173.018,-141.4374,0.0,top
_221,192.044,-68.3876,0.0,top
_220,154.979868,-92.764868,0.0,top
_219,136.95332,-66.402,0.0,top
_218,153.904132,-91.689132,0.0,top
_217,114.85268,-92.681,0.0,top
_216,134.87868,-118.135868,0.0,top
_215,117.92732,-41.031,0.0,top
_214,154.979868,-143.506868,0.0,top
_213,98.906,-67.306,0.0,top
_212,98.90132,-142.515,0.0,top
_211,190.952,-142.519,0.0,top
_210,135.953868,-118.135868,0.0,top
_209,96.914,-119.1296,0.0,top
_208,135.953868,-67.393868,0.0,top
_207,171.926,-142.519,0.0,top
_206,154.892,-141.4374,0.0,top
_205,154.892,-93.7586,0.0,top
_204,175.00532,-142.515,0.0,top
_203,135.95332,-117.060132,0.0,top
_202,192.944,-68.3876,0.0,top
_201,116.84,-116.0664,0.0,top
_200,175.01,-92.677,0.0,top
_199,155.97932,-91.773,0.0,top
_198,133.874,-41.035,0.0,top
_197,133.87868,-118.052,0.0,top
_196,136.958,-118.048,0.0,top
_195,136.958,-143.419,0.0,top
_194,190.95668,-67.31,0.0,top
_193,134.87868,-92.764868,0.0,top
_192,115.852132,-142.431132,0.0,top
_191,153.992,-141.4374,0.0,top
_190,171.926,-41.035,0.0,top
_189,155.97932,-41.031,0.0,top
_188,154.97932,-40.947132,0.0,top
_187,171.926,-91.777,0.0,top
_186,115.94,-93.7586,0.0,top
_185,154.979868,-42.022868,0.0,top
_184,154.97932,-91.689132,0.0,top
_183,115.852132,-40.947132,0.0,top
_182,98.90132,-117.144,0.0,top
_181,135.95332,-40.947132,0.0,top
_180,175.01,-67.306,0.0,top
_179,97.814,-116.0664,0.0,top
_178,173.018,-93.7586,0.0,top
_177,175.01,-143.419,0.0,top
_176,135.866,-68.3876,0.0,top
_175,135.953868,-143.506868,0.0,top
_174,153.90468,-143.506868,0.0,top
_173,134.878132,-40.947132,0.0,top
_172,155.984,-143.419,0.0,top
_171,172.93068,-67.393868,0.0,top
_170,116.92732,-142.431132,0.0,top
_169,174.00532,-66.318132,0.0,top
_168,153.904132,-142.431132,0.0,top
_167,152.9,-41.035,0.0,top
_166,117.92732,-91.773,0.0,top
_165,190.952,-117.148,0.0,top
_164,98.906,-92.677,0.0,top
_163,190.95668,-92.681,0.0,top
_162,135.866,-119.1296,0.0,top
_161,193.031868,-67.393868,0.0,top
_160,193.03132,-117.060132,0.0,top
_159,173.918,-68.3876,0.0,top
_158,173.918,-43.0166,0.0,top
_157,155.984,-67.306,0.0,top
_156,153.992,-116.0664,0.0,top
_155,153.904132,-117.060132,0.0,top
_154,135.866,-93.7586,0.0,top
_153,171.926,-117.148,0.0,top
_152,117.932,-143.419,0.0,top
_151,155.984,-118.048,0.0,top
_150,154.892,-116.0664,0.0,top
_149,153.904132,-66.318132,0.0,top
_148,173.018,-43.0166,0.0,top
_147,115.94,-65.3244,0.0,top
_146,171.926,-66.406,0.0,top
_145,134.878132,-142.431132,0.0,top
_144,135.95332,-91.689132,0.0,top
_143,193.031868,-92.764868,0.0,top
_142,96.826132,-117.060132,0.0,top
_141,116.927868,-92.764868,0.0,top
_140,136.95332,-41.031,0.0,top
_139,153.90468,-92.764868,0.0,top
_138,173.918,-90.6954,0.0,top
_137,190.95668,-143.423,0.0,top
_136,115.85268,-92.764868,0.0,top
_135,98.906,-143.419,0.0,top
_134,192.044,-90.6954,0.0,top
_133,172.930132,-40.947132,0.0,top
_132,97.90132,-66.318132,0.0,top
_131,133.874,-66.406,0.0,top
_130,97.90132,-91.689132,0.0,top
_129,171.93068,-92.681,0.0,top
_128,115.94,-43.0166,0.0,top
_127,97.814,-93.7586,0.0,top
_126,192.944,-119.1296,0.0,top
_125,192.044,-93.7586,0.0,top
_124,96.914,-141.4374,0.0,top
_123,136.95332,-117.144,0.0,top
_122,135.866,-116.0664,0.0,top
_121,155.984,-41.935,0.0,top
