Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C1, C1, C1, C1, C1, C1, C27, C27, C27, C27, C28, C28, C28, C28, C30, C30, C30, C30, C58, C58, C58, C58, C59, C59, C59, C59, C60, C60, C60, C60, C60, C60, C60, C61, C61, C61, C61, C61, C61, C61, C62, C62, C62, C62, C63, C63, C63, C63, C64, C64, C64, C64, C65, C65, C65, C65, C66, C66, C66, C66, C67, C67, C67, C67, C68, C68, C68, C68, C69, C69, C69, C69, C70, C70, C70, C70, C71, C71, C71, C71, C72, C72, C72, C72, C73, C73, C73, C73, C74, C74, C74, C74, C75, C75, C75, C75, C76, C76, C76, C76, C77, C77, C77, C77, C80, C80, C80, C80, C81, C81, C81, C81, C82, C82, C82, C82, C83, C83, C83, C83",121,100n 10V,C0402,,GRM155R71A104JA01D,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 10 VDC 5% 0402 X7R
"C10, C10, C10, C10, C10, C10, C10",7,3n30 16V,C0402,,GRM15XR71C332KA86D,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 3300 pF 16 VDC 10% 0402 X7R
"C11, C11, C11, C11, C11, C11, C11, C14, C14, C14, C14, C14, C14, C14, C15, C15, C15, C15, C15, C15, C15, C16, C16, C16, C16, C16, C16, C16, C19, C19, C19, C19, C20, C20, C20, C20, C31, C31, C31, C31, C32, C32, C32, C32, C33, C33, C33, C33",48,1u00 10V,C0402,,C0402C105K8PACTU,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF X5R 0402 10%
"C12, C12, C12, C12, C12, C12, C12, C13, C13, C13, C13, C13, C13, C13, C17, C17, C17, C17, C18, C18, C18, C18",22,2u20 16V,C0402,,GRM155R61C225KE44D,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 16 VDC 10% 0402 X5R
"C2, C2, C2, C2, C2, C2, C2",7,470n 6V3,C0402,,GRM155R60J474KE19D,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.47 uF 6.3 VDC 10% 0402 X5R
"C21, C21, C21, C21, C23, C23, C23, C23, C25, C25, C25, C25, C79, C79, C79, C79",16,22u0 6V3,C0402,,CL05A226MQ5CUN,,smt,"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402, X5R, 22uF, +/-20%"
"C22, C22, C22, C22, C24, C24, C24, C24",8,10n0 16V,C0402,,CL05B103JO5NNWC ,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10nX7R +/-5% 16v 040 0402
"C26, C26, C26, C26",4,4u70 6V3,C0402,,MSASJ105BB5475MFNA01,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 4.7uF X5R 0402 20%
"C29, C29, C29, C29",4,680p 50V,C0402,, GCM1555C1H681FA16J ,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 680 pF 50 VDC 1% 0402 C0G (NP0) AEC-Q200
"C3, C3, C3, C3, C3, C3, C3, C4, C4, C4, C4, C4, C4, C4",14,4u70 25V,C0603,,GRM188R61E475KE11D,,smt,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7 uF 25 VDC 10% 0603 X5R
