pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
117.798,-53.2235,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-126.034,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-82.3477,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-96.9098,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-140.5961,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-67.7856,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
117.798,-111.4719,0.0,top,C1,GRM155R71A104JA01D,,C0402,100n 10V,smt
124.698,-142.7211,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-84.4727,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-69.9106,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-128.159,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-99.0348,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-55.3485,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
124.698,-113.5969,90.0,top,C10,GRM15XR71C332KA86D,,C0402,3n30 16V,smt
121.498,-106.5469,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-62.8606,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-121.109,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-77.4227,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-91.9848,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-135.6711,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
121.498,-48.2985,90.0,top,C11,C0402C105K8PACTU,,C0402,1u00 10V,smt
124.273,-62.8606,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-48.2985,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-91.9848,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-135.6711,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-106.5469,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-121.109,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
124.273,-77.4227,90.0,top,C12,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-121.109,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-135.6711,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-48.2985,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-62.8606,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-106.5469,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-77.4227,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
125.223,-91.9848,90.0,top,C13,GRM155R61C225KE44D,,C0402,2u20 16V,smt
122.423,-48.2985,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-77.4227,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-62.8606,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-135.6711,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-121.109,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-91.9848,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
122.423,-106.5469,90.0,top,C14,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-106.5469,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-62.8606,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-48.2985,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-77.4227,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-135.6711,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-91.9848,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
123.348,-121.109,90.0,top,C15,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-137.3961,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-50.0235,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-122.834,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-64.5856,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-108.2719,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-79.1477,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
119.023,-93.7098,180.0,top,C16,C0402C105K8PACTU,,C0402,1u00 10V,smt
140.860581,-132.731103,180.0,bottom,C17,GRM155R61C225KE44D,,C0402,2u20 16V,smt
140.860581,-105.960722,180.0,bottom,C17,GRM155R61C225KE44D,,C0402,2u20 16V,smt
140.860581,-79.207722,180.0,bottom,C17,GRM155R61C225KE44D,,C0402,2u20 16V,smt
140.860581,-52.454722,180.0,bottom,C17,GRM155R61C225KE44D,,C0402,2u20 16V,smt
139.110581,-132.721103,0.0,bottom,C18,GRM155R61C225KE44D,,C0402,2u20 16V,smt
139.110581,-105.950722,0.0,bottom,C18,GRM155R61C225KE44D,,C0402,2u20 16V,smt
139.110581,-79.197722,0.0,bottom,C18,GRM155R61C225KE44D,,C0402,2u20 16V,smt
139.110581,-52.444722,0.0,bottom,C18,GRM155R61C225KE44D,,C0402,2u20 16V,smt
142.970581,-135.336103,0.0,top,C19,C0402C105K8PACTU,,C0402,1u00 10V,smt
142.970581,-108.565722,0.0,top,C19,C0402C105K8PACTU,,C0402,1u00 10V,smt
142.970581,-81.812722,0.0,top,C19,C0402C105K8PACTU,,C0402,1u00 10V,smt
142.970581,-55.059722,0.0,top,C19,C0402C105K8PACTU,,C0402,1u00 10V,smt
117.798,-128.609,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-99.4848,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-70.3606,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-55.7985,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-143.1711,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-114.0469,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
117.798,-84.9227,0.0,top,C2,GRM155R60J474KE19D,,C0402,470n 6V3,smt
141.020581,-139.552981,0.0,top,C20,C0402C105K8PACTU,,C0402,1u00 10V,smt
141.020581,-112.7826,0.0,top,C20,C0402C105K8PACTU,,C0402,1u00 10V,smt
141.020581,-86.0296,0.0,top,C20,C0402C105K8PACTU,,C0402,1u00 10V,smt
141.020581,-59.2766,0.0,top,C20,C0402C105K8PACTU,,C0402,1u00 10V,smt
145.687503,-143.707781,0.0,top,C21,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-116.9374,0.0,top,C21,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-90.1844,0.0,top,C21,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-63.4314,0.0,top,C21,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-144.746381,0.0,top,C22,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-117.976,0.0,top,C22,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-91.223,0.0,top,C22,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-64.47,0.0,top,C22,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-141.640581,0.0,top,C23,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-114.8702,0.0,top,C23,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-88.1172,0.0,top,C23,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-61.3642,0.0,top,C23,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
145.687503,-142.685981,0.0,top,C24,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-115.9156,0.0,top,C24,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-89.1626,0.0,top,C24,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
145.687503,-62.4096,0.0,top,C24,CL05B103JO5NNWC ,,C0402,10n0 16V,smt
142.970581,-134.267703,180.0,top,C25,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
142.970581,-107.497322,180.0,top,C25,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
142.970581,-80.744322,180.0,top,C25,CL05A226MQ5CUN,,C0402,22u0 6V3,smt
