Designator,Mid X,Mid Y,Rotation,Layer
_324,136.25,-104.15,0.0,top
_323,118.012132,-106.207,0.0,top
_322,103.55,-118.25,0.0,top
_321,118.012132,-91.207,0.0,top
_320,152.512132,-106.294868,180.0,top
_319,103.462132,-106.294868,180.0,top
_318,122.687868,-92.107,180.0,top
_317,136.162132,-92.194868,180.0,top
_316,104.45,-93.264,180.0,top
_315,169.937868,-119.319132,0.0,top
_314,120.8,-104.15,0.0,top
_313,134.362132,-91.207,0.0,top
_312,104.537868,-105.219132,0.0,top
_311,119.812132,-78.094868,180.0,top
_310,120.887868,-105.219132,0.0,top
_309,104.45,-107.364,180.0,top
_308,106.337868,-92.107,180.0,top
_307,150.712132,-133.507,0.0,top
_306,120.887868,-92.194868,180.0,top
_305,119.812132,-134.494868,180.0,top
_304,105.437868,-78.007,180.0,top
_303,152.6,-107.364,180.0,top
_302,169.85,-104.15,0.0,top
_301,121.787868,-133.507,180.0,top
_300,154.487868,-120.307,180.0,top
_299,152.512132,-91.119132,0.0,top
_298,152.6,-104.15,0.0,top
_297,137.237868,-120.394868,180.0,top
_296,106.337868,-105.307,180.0,top
_295,153.5,-107.364,180.0,top
_294,152.512132,-134.494868,180.0,top
_293,154.487868,-133.507,180.0,top
_292,137.237868,-78.094868,180.0,top
_291,105.437868,-105.307,180.0,top
_290,136.162132,-78.094868,180.0,top
_289,119.9,-104.15,0.0,top
_288,134.362132,-133.507,0.0,top
_287,122.687868,-105.307,180.0,top
_286,118.012132,-105.307,0.0,top
_285,120.8,-79.164,180.0,top
_284,122.687868,-91.207,180.0,top
_283,106.337868,-77.107,180.0,top
_282,119.9,-107.364,180.0,top
_281,105.437868,-133.507,180.0,top
_280,154.487868,-106.207,180.0,top
_279,153.587868,-77.019132,0.0,top
_278,137.237868,-134.494868,180.0,top
_277,153.587868,-120.394868,180.0,top
_276,118.912132,-133.507,0.0,top
_275,154.487868,-91.207,180.0,top
_274,167.962132,-78.007,0.0,top
_273,151.612132,-91.207,0.0,top
_272,120.8,-121.464,180.0,top
_271,169.85,-121.464,180.0,top
_270,167.962132,-92.107,0.0,top
_269,137.237868,-133.419132,0.0,top
_268,153.587868,-119.319132,0.0,top
_267,167.062132,-77.107,0.0,top
_266,139.037868,-91.207,180.0,top
_265,168.862132,-105.219132,0.0,top
_264,168.95,-132.35,0.0,top
_263,104.537868,-133.419132,0.0,top
_262,136.25,-107.364,180.0,top
_261,104.45,-132.35,0.0,top
_260,154.487868,-78.007,180.0,top
_259,169.85,-79.164,180.0,top
_258,169.937868,-92.194868,180.0,top
_257,138.137868,-106.207,180.0,top
_256,168.862132,-91.119132,0.0,top
_255,139.037868,-134.407,180.0,top
_254,137.237868,-77.019132,0.0,top
_253,139.037868,-120.307,180.0,top
_252,155.387868,-133.507,180.0,top
_251,167.062132,-120.307,0.0,top
_250,134.362132,-92.107,0.0,top
_249,152.512132,-105.219132,0.0,top
_248,152.6,-118.25,0.0,top
_247,167.062132,-105.307,0.0,top
_246,150.712132,-91.207,0.0,top
_245,169.937868,-105.219132,0.0,top
_244,150.712132,-105.307,0.0,top
_243,118.012132,-77.107,0.0,top
_242,136.162132,-91.119132,0.0,top
_241,138.137868,-91.207,180.0,top
_240,137.237868,-119.319132,0.0,top
_239,138.137868,-133.507,180.0,top
_238,118.012132,-78.007,0.0,top
_237,118.912132,-77.107,0.0,top
_236,150.712132,-78.007,0.0,top
_235,137.15,-107.364,180.0,top
_234,118.012132,-133.507,0.0,top
_233,154.487868,-105.307,180.0,top
_232,120.8,-90.05,0.0,top
